original_name,original_format,original_w,original_h,saved_name,saved_w,saved_h,extreme_dimension
1.png,PNG,512,510,1.jpg,512,510,False
10.png,PNG,381,271,10.jpg,381,271,False
11.png,PNG,382,236,11.jpg,382,236,False
12.png,PNG,384,235,12.jpg,384,235,False
13.png,PNG,394,239,13.jpg,394,239,False
14.png,PNG,379,233,14.jpg,379,233,False
15.png,PNG,381,240,15.jpg,381,240,False
16.png,PNG,382,240,16.jpg,382,240,False
17.png,PNG,385,240,17.jpg,385,240,False
18.png,PNG,381,242,18.jpg,381,242,False
19.png,PNG,381,276,19.jpg,381,276,False
2.png,PNG,513,508,2.jpg,513,508,False
20.png,PNG,384,271,20.jpg,384,271,False
20250714_130346.jpg,JPEG,4000,3000,20250714_130346.jpg,4000,3000,False
20250714_130455.jpg,JPEG,4000,3000,20250714_130455.jpg,3000,4000,False
20250714_130501.jpg,JPEG,4000,3000,20250714_130501.jpg,3000,4000,False
20250714_130631.jpg,JPEG,4000,3000,20250714_130631.jpg,4000,3000,False
20250714_140632.jpg,JPEG,4000,3000,20250714_140632.jpg,3000,4000,False
20250714_140640.jpg,JPEG,4000,3000,20250714_140640.jpg,3000,4000,False
20250714_141233.jpg,JPEG,4000,3000,20250714_141233.jpg,3000,4000,False
20250714_141318.jpg,JPEG,4000,3000,20250714_141318.jpg,3000,4000,False
20250714_141429.jpg,JPEG,4000,3000,20250714_141429.jpg,3000,4000,False
20250714_141512.jpg,JPEG,4000,3000,20250714_141512.jpg,4000,3000,False
20250714_141628.jpg,JPEG,4000,3000,20250714_141628.jpg,4000,3000,False
20250714_141841.jpg,JPEG,4000,3000,20250714_141841.jpg,3000,4000,False
20250714_141849.jpg,JPEG,4000,3000,20250714_141849.jpg,3000,4000,False
20250714_141920.jpg,JPEG,4000,3000,20250714_141920.jpg,4000,3000,False
20250714_141931.jpg,JPEG,4000,3000,20250714_141931.jpg,4000,3000,False
20250714_142146.jpg,JPEG,4000,3000,20250714_142146.jpg,3000,4000,False
20250714_142151.jpg,JPEG,4000,3000,20250714_142151.jpg,3000,4000,False
20250714_142220.jpg,JPEG,4000,3000,20250714_142220.jpg,3000,4000,False
20250714_142430.jpg,JPEG,4000,3000,20250714_142430.jpg,3000,4000,False
20250714_142437.jpg,JPEG,4000,3000,20250714_142437.jpg,3000,4000,False
20250714_142506.jpg,JPEG,4000,3000,20250714_142506.jpg,3000,4000,False
20250714_142729.jpg,JPEG,4000,3000,20250714_142729.jpg,3000,4000,False
20250714_142746.jpg,JPEG,4000,3000,20250714_142746.jpg,3000,4000,False
20250714_142755.jpg,JPEG,4000,3000,20250714_142755.jpg,3000,4000,False
20250714_142821.jpg,JPEG,4000,3000,20250714_142821.jpg,4000,3000,False
20250714_143055.jpg,JPEG,4000,3000,20250714_143055.jpg,4000,3000,False
20250714_143058.jpg,JPEG,4000,3000,20250714_143058.jpg,4000,3000,False
20250714_143120.jpg,JPEG,4000,3000,20250714_143120.jpg,4000,3000,False
20250714_143130.jpg,JPEG,4000,3000,20250714_143130.jpg,4000,3000,False
20250714_143156.jpg,JPEG,4000,3000,20250714_143156.jpg,4000,3000,False
20250714_143214.jpg,JPEG,4000,3000,20250714_143214.jpg,4000,3000,False
20250714_143223.jpg,JPEG,4000,3000,20250714_143223.jpg,4000,3000,False
20250714_143314.jpg,JPEG,4000,3000,20250714_143314.jpg,4000,3000,False
20250714_143319.jpg,JPEG,4000,3000,20250714_143319.jpg,4000,3000,False
20250714_143324.jpg,JPEG,4000,3000,20250714_143324.jpg,4000,3000,False
20250714_143336.jpg,JPEG,4000,3000,20250714_143336.jpg,4000,3000,False
20250714_143340.jpg,JPEG,4000,3000,20250714_143340.jpg,4000,3000,False
20250714_143346.jpg,JPEG,4000,3000,20250714_143346.jpg,4000,3000,False
21.png,PNG,381,274,21.jpg,381,274,False
22.png,PNG,381,274,22.jpg,381,274,False
23.png,PNG,384,346,23.jpg,384,346,False
24.png,PNG,389,344,24.jpg,389,344,False
25.png,PNG,377,349,25.jpg,377,349,False
26.png,PNG,380,349,26.jpg,380,349,False
27.png,PNG,384,331,27.jpg,384,331,False
28.png,PNG,377,330,28.jpg,377,330,False
29.png,PNG,379,327,29.jpg,379,327,False
3.png,PNG,512,513,3.jpg,512,513,False
30.png,PNG,382,346,30.jpg,382,346,False
31.png,PNG,392,346,31.jpg,392,346,False
32.png,PNG,378,343,32.jpg,378,343,False
33.png,PNG,382,346,33.jpg,382,346,False
34.png,PNG,388,325,34.jpg,388,325,False
35.png,PNG,382,336,35.jpg,382,336,False
36.png,PNG,380,340,36.jpg,380,340,False
37.png,PNG,379,336,37.jpg,379,336,False
38.png,PNG,382,340,38.jpg,382,340,False
39.png,PNG,379,336,39.jpg,379,336,False
4.png,PNG,512,513,4.jpg,512,513,False
40.png,PNG,380,338,40.jpg,380,338,False
41.png,PNG,381,338,41.jpg,381,338,False
42.png,PNG,384,342,42.jpg,384,342,False
43.png,PNG,381,339,43.jpg,381,339,False
44.png,PNG,377,339,44.jpg,377,339,False
45.png,PNG,381,339,45.jpg,381,339,False
46.png,PNG,382,339,46.jpg,382,339,False
47.png,PNG,381,337,47.jpg,381,337,False
48.png,PNG,387,342,48.jpg,387,342,False
49.png,PNG,385,337,49.jpg,385,337,False
5.png,PNG,511,511,5.jpg,511,511,False
50.png,PNG,379,339,50.jpg,379,339,False
51.png,PNG,381,342,51.jpg,381,342,False
52.png,PNG,383,338,52.jpg,383,338,False
53.png,PNG,379,337,53.jpg,379,337,False
54.png,PNG,380,338,54.jpg,380,338,False
55.png,PNG,381,342,55.jpg,381,342,False
56.png,PNG,384,342,56.jpg,384,342,False
57.png,PNG,382,342,57.jpg,382,342,False
58.png,PNG,385,340,58.jpg,385,340,False
59.png,PNG,382,339,59.jpg,382,339,False
6.png,PNG,509,513,6.jpg,509,513,False
60.png,PNG,383,338,60.jpg,383,338,False
61.png,PNG,383,339,61.jpg,383,339,False
62.png,PNG,382,336,62.jpg,382,336,False
63.png,PNG,377,339,63.jpg,377,339,False
64.png,PNG,381,335,64.jpg,381,335,False
65.png,PNG,381,338,65.jpg,381,338,False
66.png,PNG,380,337,66.jpg,380,337,False
67.png,PNG,381,340,67.jpg,381,340,False
68.png,PNG,381,343,68.jpg,381,343,False
69.png,PNG,381,343,69.jpg,381,343,False
7.png,PNG,382,276,7.jpg,382,276,False
70.png,PNG,384,343,70.jpg,384,343,False
71.png,PNG,1448,1086,71.jpg,1448,1086,False
